full_name,rating,price,version,date
lopes,83,1700,Rare,11/23/20
steve mandanda,83,1700,Rare,11/23/20
bernat,83,2100,Rare,11/23/20
kieran trippier,83,2200,Rare,11/23/20
marcelo,83,2300,Rare,11/23/20
joão cancelo,83,2800,Rare,11/23/20
kasper schmeichel,84,3400,Rare,11/23/20
roman burki,84,3500,Rare,11/23/20
rui patricio,84,3500,Rare,11/23/20
josip ilicic,84,3500,CL,11/23/20
salvatore sirigu,84,3500,Rare,11/23/20
jesus corona,84,3600,CL,11/23/20
josip ilicic,84,3600,Rare,11/23/20
idrissa gueye,84,3600,Rare,11/23/20
raul jimenez,84,3600,Rare,11/23/20
roman burki,84,3600,CL,11/23/20
jesus corona,84,3600,Rare,11/23/20
pizzi,84,3700,Rare,11/23/20
idrissa gueye,84,3700,CL,11/23/20
guerreiro,84,3800,Rare,11/23/20
grimaldo,84,3800,Rare,11/23/20
guerreiro,84,3800,CL,11/23/20
andre onana,84,3900,CL,11/23/20
andre onana,84,3900,Rare,11/23/20
lautaro martinez,84,3900,Rare,11/23/20
nicolas tagliafico,84,4000,CL,11/23/20
oyarzabal,84,4000,Rare,11/23/20
axel witsel,84,4000,CL,11/23/20
nicolas tagliafico,84,4000,Rare,11/23/20
isco,84,4000,CL,11/23/20
axel witsel,84,4000,Rare,11/23/20
azpilicueta,84,4100,Rare,11/23/20
julian brandt,84,4100,CL,11/23/20
isco,84,4100,Rare,11/23/20
marcelo brozovic,84,4100,Rare,11/23/20
julian brandt,84,4100,Rare,11/23/20
marcelo brozovic,84,4100,CL,11/23/20
wilfred ndidi,84,4100,Rare,11/23/20
azpilicueta,84,4200,CL,11/23/20
saul niguez esclapez,84,4300,Rare,11/23/20
saul niguez esclapez,84,4300,CL,11/23/20
jose maria gimenez,84,4400,Rare,11/23/20
lucas pezzini leiva,84,4400,Rare,11/23/20
iago aspas,84,4400,Rare,11/23/20
lucas pezzini leiva,84,4400,CL,11/23/20
arthur henrique ramos oliveira melo,84,4400,Rare,11/23/20
lautaro martinez,84,4500,CL,11/23/20
jesus navas,84,4500,CL,11/23/20
arthur henrique ramos oliveira melo,84,4500,CL,11/23/20
jose maria gimenez,84,4500,CL,11/23/20
kingsley coman,84,4500,Rare,11/23/20
jesus navas,84,4600,Rare,11/23/20
aaron wan-bissaka,83,4700,Rare,11/23/20
kingsley coman,84,4900,CL,11/23/20
niklas sule,84,4900,Rare,11/23/20
fernandinho,84,4900,CL,11/23/20
fernandinho,84,5000,Rare,11/23/20
felipe,84,5000,Rare,11/23/20
felipe,84,5000,CL,11/23/20
niklas sule,84,5100,CL,11/23/20
stefan de vrij,84,5100,Rare,11/23/20
stefan de vrij,84,5300,CL,11/23/20
lucas digne,84,5300,Rare,11/23/20
thomas partey,84,5900,Rare,11/23/20
david alaba,84,6100,Rare,11/23/20
peter gulacsi,85,6600,CL,11/23/20
peter gulacsi,85,6700,Rare,11/23/20
douglas costa,84,6900,Rare,11/23/20
memphis depay,85,6900,Rare,11/23/20
miralem pjanic,85,7200,Rare,11/23/20
miralem pjanic,85,7300,CL,11/23/20
luis alberto,85,7300,Rare,11/23/20
david alaba,84,7300,CL,11/23/20
bernd leno,85,7400,Rare,11/23/20
milan skriniar,85,7400,Rare,11/23/20
koke,85,7500,Rare,11/23/20
milan skriniar,85,7500,CL,11/23/20
christian eriksen,85,7500,Rare,11/23/20
thiago silva,85,7500,Rare,11/23/20
toby alderweireld,85,7500,Rare,11/23/20
koke,85,7500,CL,11/23/20
luis alberto,85,7500,CL,11/23/20
mauro icardi,85,7600,Rare,11/23/20
parejo,85,7600,Rare,11/23/20
leonardo bonucci,85,7600,Rare,11/23/20
leonardo bonucci,85,7600,CL,11/23/20
gianluigi donnarumma,85,7700,Rare,11/23/20
sergej milinkovic-savic,85,7700,Rare,11/23/20
mauro icardi,85,7700,CL,11/23/20
christian eriksen,85,7700,CL,11/23/20
rodrigo,85,7800,Rare,11/23/20
ricardo pereira,85,7800,Rare,11/23/20
rodrigo,85,7900,CL,11/23/20
marquinhos,85,7900,Rare,11/23/20
sergej milinkovic-savic,85,7900,CL,11/23/20
marquinhos,85,8000,CL,11/23/20
thiago silva,85,8000,CL,11/23/20
dries mertens,85,8300,Rare,11/23/20
serge gnabry,85,8400,Rare,11/23/20
alex sandro,85,8600,Rare,11/23/20
matthijs de ligt,85,8600,Rare,11/23/20
serge gnabry,85,8700,CL,11/23/20
alex sandro,85,8700,CL,11/23/20
hakim ziyech,85,8800,Rare,11/23/20
leon goretzka,84,9200,Rare,11/23/20
hakim ziyech,85,9300,CL,11/23/20
romelu lukaku,85,9300,CL,11/23/20
romelu lukaku,85,9400,Rare,11/23/20
thiago,85,9600,CL,11/23/20
marco reus,85,9700,Rare,11/23/20
leon goretzka,84,9800,CL,11/23/20
matthijs de ligt,85,10000,CL,11/23/20
alex telles,84,10000,Rare,11/23/20
riyad mahrez,85,10500,Rare,11/23/20
riyad mahrez,85,10500,CL,11/23/20
erling haland,84,11000,Rare,11/23/20
lorenzo insigne,85,11000,Rare,11/23/20
erling haland,84,11250,CL,11/23/20
thiago silva,86,11600,OTW SBC,11/23/20
kevin volland,84,13750,IF,11/23/20
leroy sane,85,14000,Rare,11/23/20
thomas muller,86,14000,Rare,11/23/20
david silva,86,14000,Rare,11/23/20
marco reus,85,14000,CL,11/23/20
jordan henderson,86,14000,Rare,11/23/20
yann sommer,86,14250,CL,11/23/20
de gea,86,14250,CL,11/23/20
de gea,86,14250,Rare,11/23/20
max kruse,84,14250,IF,11/23/20
yann sommer,86,14500,Rare,11/23/20
thomas muller,86,14500,CL,11/23/20
marco verratti,86,14500,CL,11/23/20
fernando pacheco flores,84,14750,IF,11/23/20
marco verratti,86,14750,Rare,11/23/20
lukasz fabianski,84,14750,IF,11/23/20
walter benitez,84,15000,IF,11/23/20
alejandro gomez,86,15000,Rare,11/23/20
jordan henderson,86,15000,CL,11/23/20
alejandro gomez,86,15000,CL,11/23/20
ben chilwell,84,15000,IF,11/23/20
andres iniesta lujan,84,15500,IF,11/23/20
alessandro florenzi,84,15500,IF,11/23/20
carvajal,86,15500,Rare,11/23/20
marcel halstenberg,84,15750,IF,11/23/20
leroy sane,85,16000,CL,11/23/20
james rodriguez,84,16000,IF,11/23/20
carvajal,86,16000,CL,11/23/20
pique,86,16000,Rare,11/23/20
mats hummels,86,16500,CL,11/23/20
pique,86,16500,CL,11/23/20
mats hummels,86,16500,Rare,11/23/20
lukas hradecký,85,16750,IF,11/23/20
manuel lazzari,84,17000,Halloween,11/23/20
jordi alba,86,17250,Rare,11/23/20
lopes,85,17500,IF,11/23/20
frenkie de jong,85,17500,Rare,11/23/20
wissam ben yedder,84,17750,Rare,11/23/20
jordi alba,86,17750,CL,11/23/20
frenkie de jong,85,18500,CL,11/23/20
koen casteels,85,18500,IF,11/23/20
keylor navas,87,19250,Rare,11/23/20
keylor navas,87,20000,CL,11/23/20
wojciech szczesny,87,20000,Rare,11/23/20
wojciech szczesny,87,20000,CL,11/23/20
jadon sancho,87,20500,Rare,11/23/20
arthur henrique ramos oliveira melo,84,20500,OTW,11/23/20
fabinho,87,20750,CL,11/23/20
bernardo silva,87,20750,Rare,11/23/20
angel di maria,87,20750,Rare,11/23/20
ciro immobile,87,20750,Rare,11/23/20
james rodriguez,84,20750,OTW SBC,11/23/20
fabinho,87,21000,Rare,11/23/20
luis suarez,87,21000,CL,11/23/20
luka modric,87,21000,CL,11/23/20
luka modric,87,21000,Rare,11/23/20
angel di maria,87,21000,CL,11/23/20
jadon sancho,87,21000,CL,11/23/20
bernardo silva,87,21000,CL,11/23/20
sergio busquets,87,21000,Rare,11/23/20
sergio busquets,87,21250,CL,11/23/20
sergi roberto carnicer,85,21500,IF,11/23/20
alessandro florenzi,84,21500,OTW,11/23/20
giorgio chiellini,87,21750,Rare,11/23/20
giorgio chiellini,87,21750,CL,11/23/20
jamie vardy,86,21750,Rare,11/23/20
zlatan ibrahimovic,85,22000,IF,11/23/20
aymeric laporte,87,22000,Rare,11/23/20
trent alexander-arnold,87,22000,Rare,11/23/20
hugo lloris,87,22250,Rare,11/23/20
aymeric laporte,87,22250,CL,11/23/20
martin odegaard,85,23000,IF,11/23/20
kai havertz,85,23250,Rare,11/23/20
peter gulacsi,86,23250,IF,11/23/20
achraf hakimi,85,23500,IF,11/23/20
jesus corona,86,23500,IF,11/23/20
andrew robertson,87,23750,Rare,11/23/20
guerreiro,86,24000,IF,11/23/20
martin odegaard,85,24500,OTW,11/23/20
kai havertz,85,24500,CL,11/23/20
