full_name,rating,price,version,date
pele,98,0.0,Icon,2020-11-25
bernat,85,0.0,Objectives,2020-11-25
marcel sabitzer,85,0.0,Objectives,2020-11-25
petr cech,91,0.0,Icon,2020-11-25
bastian schweinsteiger,91,0.0,Icon,2020-11-25
fernando torres,91,0.0,Icon,2020-11-25
philipp lahm,91,0.0,Icon,2020-11-25
alexandre lacazette,85,0.0,Objectives,2020-11-25
thomas partey,84,0.0,CL,2020-11-25
diego godin,85,0.0,Rare,2020-11-25
ian rush,91,0.0,Icon,2020-11-25
douglas costa,84,0.0,CL,2020-11-25
miroslav klose,91,0.0,Icon,2020-11-25
thiago,85,0.0,Rare,2020-11-25
laurent blanc,91,0.0,Icon,2020-11-25
roberto carlos,91,0.0,Icon,2020-11-25
patrick vieira,91,0.0,Icon,2020-11-25
patrick kluivert,91,0.0,Icon,2020-11-25
alessio romagnoli,86,0.0,Objectives,2020-11-25
iago aspas,86,0.0,Objectives,2020-11-25
michael laudrup,91,0.0,Icon,2020-11-25
nordi mukiele,84,0.0,Halloween Objective,2020-11-25
socrates,91,0.0,Icon,2020-11-25
inaki williams,84,0.0,Halloween SBC,2020-11-25
ronald koeman,91,0.0,Icon,2020-11-25
gheorghe hagi,91,0.0,Icon,2020-11-25
fernando hierro ruiz,91,0.0,Icon,2020-11-25
kaka,91,0.0,Icon,2020-11-25
edwin van der sar,91,0.0,Icon,2020-11-25
didier drogba,91,0.0,Icon,2020-11-25
karim bellarabi,85,0.0,Halloween SBC,2020-11-25
ashley cole,89,0.0,Icon,2020-11-25
roy keane,90,0.0,Icon,2020-11-25
jay-jay okocha,90,0.0,Icon,2020-11-25
nemanja vidic,90,0.0,Icon,2020-11-25
davor suker,90,0.0,Icon,2020-11-25
sol campbell,89,0.0,Icon,2020-11-25
gennaro gattuso,89,0.0,Icon,2020-11-25
callejon jose,84,0.0,Rare,2020-11-25
john barnes,89,0.0,Icon,2020-11-25
pep guardiola,90,0.0,Icon,2020-11-25
juan sebastian veron,90,0.0,Icon,2020-11-25
ian wright,89,0.0,Icon,2020-11-25
christian vieri,90,0.0,Icon,2020-11-25
henrik larsson,90,0.0,Icon,2020-11-25
gianluca zambrotta,89,0.0,Icon,2020-11-25
marc overmars,90,0.0,Icon,2020-11-25
hector bellerin moruno,85,0.0,Obj League Player,2020-11-25
riquelme,91,0.0,Icon,2020-11-25
naby keïta,85,0.0,Objectives,2020-11-25
frank rijkaard,90,0.0,Icon,2020-11-25
luis hernandez,90,0.0,Icon,2020-11-25
anderson luis de souza,90,0.0,Icon,2020-11-25
michael essien,90,0.0,Icon,2020-11-25
hernan crespo,90,0.0,Icon,2020-11-25
rio ferdinand,90,0.0,Icon,2020-11-25
jari litmanen,90,0.0,Icon,2020-11-25
frank lampard,90,0.0,Icon,2020-11-25
claude makelele,90,0.0,Icon,2020-11-25
emmanuel petit,90,0.0,Icon,2020-11-25
gianfranco zola,90,0.0,Icon,2020-11-25
filippo inzaghi,90,0.0,Icon,2020-11-25
rui manuel cesar costa,90,0.0,Icon,2020-11-25
alex telles,84,0.0,CL,2020-11-25
steven gerrard,91,0.0,Icon,2020-11-25
hidetoshi nakata,88,0.0,Icon,2020-11-25
pavel nedvěd,91,0.0,Icon,2020-11-25
luis figo,92,0.0,Icon,2020-11-25
hristo stoichkov,92,0.0,Icon,2020-11-25
rivaldo,92,0.0,Icon,2020-11-25
fabio cannavaro,92,0.0,Icon,2020-11-25
alessandro nesta,92,0.0,Icon,2020-11-25
javier zanetti,92,0.0,Icon,2020-11-25
ryan giggs,92,0.0,Icon,2020-11-25
joshua king,84,0.0,Squad Foundations,2020-11-25
xavier hernandez,93,0.0,Icon,2020-11-25
eric cantona,93,0.0,Icon,2020-11-25
eusebio,93,0.0,Icon,2020-11-25
andriy shevchenko,91,0.0,Icon,2020-11-25
george best,93,0.0,Icon,2020-11-25
ruud gullit,93,0.0,Icon,2020-11-25
marco van basten,93,0.0,Icon,2020-11-25
carlos alberto torres,93,0.0,Icon,2020-11-25
franco baresi,93,0.0,Icon,2020-11-25
thierry henry,93,0.0,Icon,2020-11-25
roberto baggio,93,0.0,Icon,2020-11-25
ferenc puskas,94,0.0,Icon,2020-11-25
marcos acuna,83,0.0,Rare,2020-11-25
mane garrincha,94,0.0,Icon,2020-11-25
paolo maldini,94,0.0,Icon,2020-11-25
lev yashin,94,0.0,Icon,2020-11-25
johan cruyff,94,0.0,Icon,2020-11-25
ronaldinho,94,0.0,Icon,2020-11-25
ronaldo,96,0.0,Icon,2020-11-25
zinedine zidane,96,0.0,Icon,2020-11-25
diego maradona,97,0.0,Icon,2020-11-25
andrea pirlo,92,0.0,Icon,2020-11-25
ruud van nistelrooy,92,0.0,Icon,2020-11-25
lothar matthäus,93,0.0,Icon,2020-11-25
