full_name,rating,price,version,date
pele,98,0.0,Icon,2020-12-01 10:15
fernando torres,91,0.0,Icon,2020-12-01 10:15
bastian schweinsteiger,91,0.0,Icon,2020-12-01 10:15
petr cech,91,0.0,Icon,2020-12-01 10:15
inaki williams,84,0.0,Halloween SBC,2020-12-01 10:15
nordi mukiele,84,0.0,Halloween Objective,2020-12-01 10:15
philipp lahm,91,0.0,Icon,2020-12-01 10:15
douglas costa,84,0.0,CL,2020-12-01 10:15
alex telles,84,0.0,CL,2020-12-01 10:15
callejon jose,84,0.0,Rare,2020-12-01 10:15
hector bellerin moruno,85,0.0,Obj League Player,2020-12-01 10:15
roy keane,90,0.0,Icon,2020-12-01 10:15
jay-jay okocha,90,0.0,Icon,2020-12-01 10:15
rui manuel cesar costa,90,0.0,Icon,2020-12-01 10:15
thomas partey,84,0.0,CL,2020-12-01 10:15
bojan,84,0.0,Squad Foundations,2020-12-01 10:15
joaquin correa,84,0.0,UCL Live,2020-12-01 10:15
joshua king,84,0.0,Squad Foundations,2020-12-01 10:15
alphonse areola,82,0.0,Rare,2020-12-01 10:15
michael laudrup,91,0.0,Icon,2020-12-01 10:15
patrick kluivert,91,0.0,Icon,2020-12-01 10:15
patrick vieira,91,0.0,Icon,2020-12-01 10:15
roberto carlos,91,0.0,Icon,2020-12-01 10:15
laurent blanc,91,0.0,Icon,2020-12-01 10:15
rodrygo silva de goes,83,0.0,Record Breaker,2020-12-01 10:15
nick lima,83,0.0,Squad Foundations,2020-12-01 10:15
miroslav klose,91,0.0,Icon,2020-12-01 10:15
gareth bale,83,0.0,Rare,2020-12-01 10:15
arturo vidal,83,0.0,Rare,2020-12-01 10:15
gonzalo higuain,83,0.0,Rare,2020-12-01 10:15
ian rush,91,0.0,Icon,2020-12-01 10:15
nelson semedo,83,0.0,Rare,2020-12-01 10:15
marcos acuna,83,0.0,Rare,2020-12-01 10:15
naby keïta,85,0.0,Objectives,2020-12-01 10:15
nemanja vidic,90,0.0,Icon,2020-12-01 10:15
filippo inzaghi,90,0.0,Icon,2020-12-01 10:15
emmanuel petit,90,0.0,Icon,2020-12-01 10:15
henrik larsson,90,0.0,Icon,2020-12-01 10:15
christian vieri,90,0.0,Icon,2020-12-01 10:15
iago aspas,86,0.0,Objectives,2020-12-01 10:15
