"DateTime","XBOX","PS","PC"
"2020-09-30 00:00:00",0,0,0
"2020-10-01 00:00:00",0,0,0
"2020-10-02 00:00:00",268500,318926,385900
"2020-10-03 00:00:00",289176,348190,383524
"2020-10-04 00:00:00",307583,363694,418897
"2020-10-05 00:00:00",303600,360731,400423
"2020-10-06 00:00:00",315609,379956,424115
"2020-10-07 00:00:00",310682,386488,422000
"2020-10-08 00:00:00",304458,379614,431462
"2020-10-09 00:00:00",289720,365341,421714
"2020-10-10 00:00:00",295759,370933,406406
"2020-10-11 00:00:00",300781,379694,409182
"2020-10-12 00:00:00",308324,382340,401438
"2020-10-13 00:00:00",324147,395784,417778
"2020-10-14 00:00:00",327771,395510,416447
"2020-10-15 00:00:00",325229,390922,412278
"2020-10-16 00:00:00",325750,387709,421714
"2020-10-17 00:00:00",331538,393175,421882
"2020-10-18 00:00:00",316889,374098,395514
"2020-10-19 00:00:00",303136,360823,381105
"2020-10-20 00:00:00",295000,350984,369239
"2020-10-21 00:00:00",290735,352850,366026
"2020-10-22 00:00:00",309971,368574,393605
"2020-10-23 00:00:00",322214,382021,400087
"2020-10-24 00:00:00",326848,384689,404476
"2020-10-25 00:00:00",314500,377727,400000
"2020-10-26 00:00:00",313178,378043,393915
"2020-10-27 00:00:00",311452,378271,399348
"2020-10-28 00:00:00",315081,380333,401705
"2020-10-29 00:00:00",341881,398441,412955
"2020-10-30 00:00:00",340756,404571,421100
"2020-10-31 00:00:00",334321,394323,415147
"2020-11-01 00:00:00",320868,385087,399821
"2020-11-02 00:00:00",320404,389562,401191
"2020-11-03 00:00:00",327974,394735,405762
"2020-11-04 00:00:00",332765,397234,405229
"2020-11-05 00:00:00",346128,407553,418800
"2020-11-06 00:00:00",347064,403888,418019
"2020-11-07 00:00:00",344824,406407,418646
"2020-11-08 00:00:00",326532,391622,401100
"2020-11-09 00:00:00",326452,393833,397923
"2020-11-10 00:00:00",326348,395583,395575
"2020-11-11 00:00:00",327882,393719,397086
"2020-11-12 00:00:00",335827,401989,405981
"2020-11-13 00:00:00",334490,402506,400523
"2020-11-14 00:00:00",309929,381321,381288
"2020-11-15 00:00:00",288636,356467,359315
"2020-11-16 00:00:00",289597,351284,369680
"2020-11-17 00:00:00",294233,365744,376864
"2020-11-18 00:00:00",296441,367989,382031
"2020-11-19 00:00:00",302907,374074,390788
"2020-11-20 00:00:00",308041,380517,394303
"2020-11-21 00:00:00",308104,376854,390186
"2020-11-22 00:00:00",293131,362551,377565
"2020-11-23 00:00:00",288810,364659,381838
"2020-11-24 00:00:00",285694,363398,381886
"2020-11-25 00:00:00",275044,355107,378153
"2020-11-26 00:00:00",289779,370352,390937
"2020-11-27 00:00:00",308614,391191,406097
"2020-11-28 00:00:00",329691,402580,423943
"2020-11-29 00:00:00",319054,394189,418417
"2020-11-30 00:00:00",314627,392587,419383
"2020-12-01 00:00:00",321135,396538,422731
"2020-12-02 00:00:00",325225,397678,421224
"2020-12-03 00:00:00",331544,403293,426740
"2020-12-04 00:00:00",329756,402670,432379
"2020-12-05 00:00:00",300151,374415,400351
"2020-12-06 00:00:00",287949,354581,382656
"2020-12-07 00:00:00",279313,347651,377906
"2020-12-08 00:00:00",283829,353421,384547
"2020-12-09 00:00:00",282357,349878,379484
"2020-12-10 00:00:00",290703,362684,390233
"2020-12-11 00:00:00",281239,355988,383246
"2020-12-12 00:00:00",240815,320780,349119
"2020-12-13 00:00:00",223667,305853,335342
"2020-12-14 00:00:00",212640,295088,324302
"2020-12-15 00:00:00",202510,284724,308515
"2020-12-16 00:00:00",204383,288130,311557
"2020-12-17 00:00:00",223330,302452,326521
"2020-12-18 00:00:00",231176,307216,333381
"2020-12-19 00:00:00",216621,294989,318734
"2020-12-20 00:00:00",206966,283089,308795
"2020-12-21 00:00:00",205352,281500,305878
"2020-12-22 00:00:00",209697,285060,309912
"2020-12-23 00:00:00",208125,278600,303485
"2020-12-24 00:00:00",210286,282505,307718
"2020-12-25 00:00:00",209865,285183,308630
"2020-12-26 00:00:00",207278,276294,306957
"2020-12-27 00:00:00",192634,255833,291438
"2020-12-28 00:00:00",187691,243886,282267
"2020-12-29 00:00:00",185112,240525,276344
"2020-12-30 00:00:00",187947,245021,277500
"2020-12-31 00:00:00",193613,252221,283256
"2021-01-01 00:00:00",194580,256615,286290
"2021-01-02 00:00:00",190596,251330,282226
"2021-01-03 00:00:00",182231,238389,272473
"2021-01-04 00:00:00",179667,236230,274057
"2021-01-05 00:00:00",182111,239073,279855
"2021-01-06 00:00:00",181806,236409,280863
"2021-01-07 00:00:00",185628,240881,286198
"2021-01-08 00:00:00",192060,250112,293013
"2021-01-09 00:00:00",182940,241247,283857
"2021-01-10 00:00:00",171500,223211,270971
"2021-01-11 00:00:00",164720,215980,264073
