"DateTime","XBOX","PS","PC"
"2020-09-30 00:00:00",0,0,0
"2020-10-01 00:00:00",0,0,0
"2020-10-02 00:00:00",919600,1082879,1180455
"2020-10-03 00:00:00",987684,1171319,1216962
"2020-10-04 00:00:00",1037444,1203275,1172909
"2020-10-05 00:00:00",1030483,1200855,1213964
"2020-10-06 00:00:00",1037304,1200348,1258370
"2020-10-07 00:00:00",999643,1198208,1295515
"2020-10-08 00:00:00",968621,1140979,1245867
"2020-10-09 00:00:00",916000,1082452,1160107
"2020-10-10 00:00:00",902207,1088565,1166912
"2020-10-11 00:00:00",899636,1091143,1114286
"2020-10-12 00:00:00",896182,1077776,1102333
"2020-10-13 00:00:00",939730,1148538,1158757
"2020-10-14 00:00:00",975683,1176630,1198356
"2020-10-15 00:00:00",962545,1138542,1190667
"2020-10-16 00:00:00",950487,1112175,1159816
"2020-10-17 00:00:00",942184,1113500,1121313
"2020-10-18 00:00:00",914136,1082710,1110486
"2020-10-19 00:00:00",895395,1052900,1096667
"2020-10-20 00:00:00",889156,1055892,1059644
"2020-10-21 00:00:00",882722,1036180,1088895
"2020-10-22 00:00:00",888697,1045967,1095182
"2020-10-23 00:00:00",901037,1059804,1088233
"2020-10-24 00:00:00",899036,1053759,1076892
"2020-10-25 00:00:00",899273,1051603,1088395
"2020-10-26 00:00:00",892972,1050197,1099814
"2020-10-27 00:00:00",896605,1060727,1103689
"2020-10-28 00:00:00",907711,1069031,1111733
"2020-10-29 00:00:00",960647,1116516,1160951
"2020-10-30 00:00:00",972316,1143435,1207951
"2020-10-31 00:00:00",952320,1132365,1177576
"2020-11-01 00:00:00",931486,1097014,1157026
"2020-11-02 00:00:00",937829,1112809,1172630
"2020-11-03 00:00:00",963438,1137880,1188500
"2020-11-04 00:00:00",960412,1147879,1193027
"2020-11-05 00:00:00",977917,1161379,1208263
"2020-11-06 00:00:00",967444,1149325,1194176
"2020-11-07 00:00:00",968204,1151973,1188159
"2020-11-08 00:00:00",931933,1111962,1158386
"2020-11-09 00:00:00",942077,1121145,1161585
"2020-11-10 00:00:00",944739,1126945,1162591
"2020-11-11 00:00:00",946300,1129857,1176703
"2020-11-12 00:00:00",955000,1135958,1180209
"2020-11-13 00:00:00",924640,1114840,1160000
"2020-11-14 00:00:00",883038,1046270,1101383
"2020-11-15 00:00:00",853943,1015118,1047090
"2020-11-16 00:00:00",841095,1010126,1045215
"2020-11-17 00:00:00",858766,1025422,1079971
"2020-11-18 00:00:00",858455,1021738,1074536
"2020-11-19 00:00:00",846644,1012764,1076456
"2020-11-20 00:00:00",833667,1004862,1058108
"2020-11-21 00:00:00",831375,999234,1059929
"2020-11-22 00:00:00",818113,995828,1059413
"2020-11-23 00:00:00",825404,1002863,1069941
"2020-11-24 00:00:00",821202,1003505,1070188
"2020-11-25 00:00:00",814362,1000224,1066342
"2020-11-26 00:00:00",818071,1008585,1069102
"2020-11-27 00:00:00",815594,1012747,1071500
"2020-11-28 00:00:00",825000,1013568,1074357
"2020-11-29 00:00:00",805800,997188,1058192
"2020-11-30 00:00:00",796823,994674,1037507
"2020-12-01 00:00:00",800578,989883,1033050
"2020-12-02 00:00:00",798506,987533,1022813
"2020-12-03 00:00:00",792835,967809,1003417
"2020-12-04 00:00:00",769667,931800,986692
"2020-12-05 00:00:00",688796,834073,890941
"2020-12-06 00:00:00",671604,809640,838298
"2020-12-07 00:00:00",648183,797545,838952
"2020-12-08 00:00:00",655538,803110,832245
"2020-12-09 00:00:00",655111,799543,830511
"2020-12-10 00:00:00",666436,806206,845071
"2020-12-11 00:00:00",659389,809371,839940
"2020-12-12 00:00:00",695452,856796,888014
"2020-12-13 00:00:00",690153,850057,878229
"2020-12-14 00:00:00",686071,847743,881559
"2020-12-15 00:00:00",691230,861083,890610
"2020-12-16 00:00:00",698910,876790,904237
"2020-12-17 00:00:00",703192,881505,910848
"2020-12-18 00:00:00",696207,873874,912605
"2020-12-19 00:00:00",660750,835354,884894
"2020-12-20 00:00:00",630563,804726,858854
"2020-12-21 00:00:00",627118,802789,853574
"2020-12-22 00:00:00",612074,789654,839639
"2020-12-23 00:00:00",613345,787376,837867
"2020-12-24 00:00:00",617837,790612,850337
"2020-12-25 00:00:00",613697,784264,850094
"2020-12-26 00:00:00",604202,760174,826561
"2020-12-27 00:00:00",587951,727782,792824
"2020-12-28 00:00:00",574442,709645,777431
"2020-12-29 00:00:00",565817,705145,775925
"2020-12-30 00:00:00",567957,714679,783621
"2020-12-31 00:00:00",567352,711867,786113
"2021-01-01 00:00:00",568805,709721,782256
"2021-01-02 00:00:00",564077,706895,775326
"2021-01-03 00:00:00",551586,693067,762816
"2021-01-04 00:00:00",551680,695832,766683
"2021-01-05 00:00:00",558370,701893,772683
"2021-01-06 00:00:00",551305,695500,776260
"2021-01-07 00:00:00",558330,698691,781779
"2021-01-08 00:00:00",570633,708990,788756
"2021-01-09 00:00:00",561343,698111,780392
"2021-01-10 00:00:00",540699,680538,761733
"2021-01-11 00:00:00",530171,673047,756117
