"DateTime","XBOX","PS","PC"
"2020-09-30 00:00:00",0,0,0
"2020-10-01 00:00:00",0,0,0
"2020-10-02 00:00:00",182750,232000,262909
"2020-10-03 00:00:00",203737,253186,278478
"2020-10-04 00:00:00",216462,267078,277212
"2020-10-05 00:00:00",231143,274204,274241
"2020-10-06 00:00:00",224259,271604,293148
"2020-10-07 00:00:00",222320,274114,303063
"2020-10-08 00:00:00",220593,276043,296724
"2020-10-09 00:00:00",203962,257432,287267
"2020-10-10 00:00:00",204621,257878,278657
"2020-10-11 00:00:00",213344,263569,280649
"2020-10-12 00:00:00",221447,272345,281000
"2020-10-13 00:00:00",242000,291444,297119
"2020-10-14 00:00:00",250842,295019,302650
"2020-10-15 00:00:00",250703,291556,294757
"2020-10-16 00:00:00",250000,290966,295150
"2020-10-17 00:00:00",251000,293600,294086
"2020-10-18 00:00:00",238224,281394,283976
"2020-10-19 00:00:00",232604,278924,281233
"2020-10-20 00:00:00",230509,275729,277592
"2020-10-21 00:00:00",226308,272349,269700
"2020-10-22 00:00:00",239476,280662,289170
"2020-10-23 00:00:00",252032,291400,295351
"2020-10-24 00:00:00",253702,293632,298326
"2020-10-25 00:00:00",249240,293413,294245
"2020-10-26 00:00:00",251390,293420,297210
"2020-10-27 00:00:00",252782,296232,302286
"2020-10-28 00:00:00",264926,304298,309481
"2020-10-29 00:00:00",285379,323736,333758
"2020-10-30 00:00:00",288345,330216,343186
"2020-10-31 00:00:00",279787,317639,332216
"2020-11-01 00:00:00",269927,307500,324032
"2020-11-02 00:00:00",274277,315570,327527
"2020-11-03 00:00:00",281559,323841,336358
"2020-11-04 00:00:00",286447,326892,336000
"2020-11-05 00:00:00",294617,336352,352547
"2020-11-06 00:00:00",292542,330725,343294
"2020-11-07 00:00:00",285214,322747,333151
"2020-11-08 00:00:00",265982,307833,320615
"2020-11-09 00:00:00",268737,308938,314473
"2020-11-10 00:00:00",266849,308469,315268
"2020-11-11 00:00:00",268065,307880,313136
"2020-11-12 00:00:00",270345,308245,317542
"2020-11-13 00:00:00",257850,295277,310262
"2020-11-14 00:00:00",238808,275494,293048
"2020-11-15 00:00:00",221036,259904,268543
"2020-11-16 00:00:00",216424,255895,270775
"2020-11-17 00:00:00",223554,267989,280222
"2020-11-18 00:00:00",221585,267255,280614
"2020-11-19 00:00:00",226580,267880,287662
"2020-11-20 00:00:00",227720,272573,288875
"2020-11-21 00:00:00",226067,270000,289061
"2020-11-22 00:00:00",213268,260096,281185
"2020-11-23 00:00:00",208374,261905,281427
"2020-11-24 00:00:00",205217,261581,281681
"2020-11-25 00:00:00",193235,249967,272049
"2020-11-26 00:00:00",201529,256354,282553
"2020-11-27 00:00:00",206360,262189,284310
"2020-11-28 00:00:00",209389,262510,284892
"2020-11-29 00:00:00",200118,253789,276708
"2020-11-30 00:00:00",196969,251464,275528
"2020-12-01 00:00:00",198921,253438,276132
"2020-12-02 00:00:00",203707,258141,277556
"2020-12-03 00:00:00",207693,261043,282634
"2020-12-04 00:00:00",209238,261076,283971
"2020-12-05 00:00:00",188384,234099,261568
"2020-12-06 00:00:00",178416,221073,241097
"2020-12-07 00:00:00",175260,219587,239804
"2020-12-08 00:00:00",179522,224520,246570
"2020-12-09 00:00:00",180917,224326,246493
"2020-12-10 00:00:00",188337,233990,259424
"2020-12-11 00:00:00",184959,232033,256101
"2020-12-12 00:00:00",160694,211865,236065
"2020-12-13 00:00:00",148330,202520,227364
"2020-12-14 00:00:00",144794,197981,225330
"2020-12-15 00:00:00",139364,188792,217554
"2020-12-16 00:00:00",139945,188961,219409
"2020-12-17 00:00:00",151286,197327,226891
"2020-12-18 00:00:00",159087,204867,231811
"2020-12-19 00:00:00",158522,204099,230811
"2020-12-20 00:00:00",149376,193162,218724
"2020-12-21 00:00:00",155204,198714,224656
"2020-12-22 00:00:00",156110,201186,227363
"2020-12-23 00:00:00",164683,207057,234183
"2020-12-24 00:00:00",171300,214717,245268
"2020-12-25 00:00:00",181674,223558,254951
"2020-12-26 00:00:00",178750,219039,251667
"2020-12-27 00:00:00",171389,207105,238845
"2020-12-28 00:00:00",167309,203212,238969
"2020-12-29 00:00:00",165652,202265,240653
"2020-12-30 00:00:00",163113,202485,240929
"2020-12-31 00:00:00",165920,204189,239687
"2021-01-01 00:00:00",166000,205260,241038
"2021-01-02 00:00:00",156660,198092,233407
"2021-01-03 00:00:00",148987,188412,221867
"2021-01-04 00:00:00",150011,187475,221763
"2021-01-05 00:00:00",151082,189042,224667
"2021-01-06 00:00:00",145583,183556,217154
"2021-01-07 00:00:00",149031,186934,220361
"2021-01-08 00:00:00",153165,190343,226671
"2021-01-09 00:00:00",136377,175753,210696
"2021-01-10 00:00:00",125225,163317,203354
"2021-01-11 00:00:00",120583,157252,195307
